Multi Channel Experimenter Burst Analyzer ASCII Export


Parameters:

t	12	12	12	
	Duration	Count	Frequency	
[s]	[ms]	[-]	[Hz]	
2519.27000	389.00	10	23.136	
2586.58300	448.90	9	17.821	
2624.12560	252.10	5	15.867	
2640.55310	337.80	11	29.603	
2656.26230	246.40	11	40.584	
2694.37990	22.50	3	88.889	
2742.42150	375.00	19	48.000	
2786.50350	1291.70	27	20.129	
2793.22740	37.30	2	26.810	
2809.37410	366.10	15	38.241	

t	23	23	23	
	Duration	Count	Frequency	
[s]	[ms]	[-]	[Hz]	
169.15660	61.80	5	64.725	
348.37170	118.90	5	33.642	
421.26320	418.00	15	33.493	
1115.10480	45.40	3	44.053	
1193.33830	554.10	12	19.852	
1289.79540	446.30	14	29.128	
1394.08920	326.00	10	27.607	
1429.42740	369.80	15	37.858	
1488.11350	351.90	14	36.942	
1521.74270	323.80	10	27.795	
1590.35320	329.70	13	36.397	
1608.05660	281.50	12	39.076	
1668.39480	320.20	13	37.477	
1680.54480	266.40	10	33.784	
1703.10370	286.90	9	27.884	
1714.06280	275.50	7	21.779	
1731.47040	239.70	8	29.203	
1791.30920	329.60	11	30.340	
1807.70300	278.70	11	35.881	
1869.54700	307.00	14	42.345	
1908.11420	303.70	10	29.635	
1918.85120	248.00	10	36.290	
1936.30200	170.90	2	5.851	
1971.78650	351.10	9	22.786	
1991.38390	263.00	8	26.616	
2001.64540	63.50	3	31.496	
2030.56470	242.40	9	33.003	
2046.04670	241.10	7	24.886	
2088.39710	294.50	14	44.143	
2104.62420	232.40	2	4.303	
2118.40760	53.10	2	18.832	
2134.17450	224.40	4	13.369	
2141.53330	45.40	3	44.053	
2154.71900	56.50	2	17.699	
2193.29590	226.30	3	8.838	
2241.35660	305.30	6	16.377	
2281.37210	237.00	6	21.097	
2303.99630	264.30	9	30.269	
2328.46480	295.50	5	13.536	
2380.08900	272.20	6	18.369	
2425.01260	257.90	3	7.755	
2476.02890	292.00	3	6.849	
2503.61990	74.40	4	40.323	
2519.28890	47.80	3	41.841	
2586.59810	304.80	7	19.685	
2786.51500	96.20	4	31.185	
2809.38340	189.50	5	21.108	

t	24	24	24	
	Duration	Count	Frequency	
[s]	[ms]	[-]	[Hz]	
244.60020	342.60	17	46.702	
376.68510	588.50	25	40.782	
407.41470	66.20	3	30.211	
421.22420	1354.30	34	24.367	
550.60740	551.00	13	21.779	
651.17910	527.10	20	36.046	
688.42860	72.20	7	83.102	
964.99220	427.90	7	14.022	
994.41540	439.40	4	6.827	
1012.22430	332.60	5	12.026	
1115.01350	472.80	3	4.230	
1193.32290	1630.50	27	15.946	
1267.64240	362.20	15	38.653	
1289.77870	1391.20	16	10.782	
1391.07220	273.70	6	18.268	
1394.07410	1684.50	36	20.778	
1429.41080	1426.20	13	8.414	
1447.60890	363.70	16	41.243	
1457.62000	403.50	6	12.392	
1467.99760	340.30	16	44.079	
1488.09720	1159.90	20	16.381	
1521.72920	479.70	3	4.169	
1590.33080	1543.40	25	15.550	
1608.03340	499.90	4	6.001	
1624.84740	215.60	5	18.553	
1630.44210	249.60	6	20.032	
1668.38050	719.00	6	6.954	
1680.52830	454.10	4	6.606	
1703.08460	490.80	5	8.150	
1714.04150	463.30	3	4.317	
1731.45130	483.40	8	14.481	
1791.29380	525.10	4	5.713	
1807.69020	935.50	7	6.414	
1842.57970	365.20	8	19.168	
1858.61050	417.00	6	11.990	
1869.53000	520.40	6	9.608	
1908.10080	507.60	5	7.880	
1918.83110	465.30	5	8.597	
1931.96850	291.80	12	37.697	
1936.28490	470.80	5	8.496	
1971.77520	816.30	3	2.450	
1991.36910	496.60	4	6.041	
2001.63020	445.50	8	15.713	
2030.55240	1071.20	4	2.801	
2046.03280	469.50	6	10.650	
2088.38060	512.70	5	7.802	
2104.61690	449.60	5	8.897	
